Type,Entry Time,Exit Time,Signal,Entry Price,Exit Price,Points,PnL INR,Net PnL %,Cumulative PnL INR,Cumulative PnL %,Holding Time
LONG,2016-09-22 09:15:00+05:30,2016-09-23 09:15:00+05:30,LONG,20210.3,20018.05,-192.25,-5767.5,-3.84,194329.5,129.55,1 days 00:00:00
SHORT,2016-09-23 09:15:00+05:30,2016-09-27 11:45:00+05:30,SHORT,20018.05,19670.9,347.15,10414.5,6.94,204744.0,136.5,4 days 02:30:00
LONG,2016-09-27 11:45:00+05:30,2016-09-27 13:30:00+05:30,LONG,19670.9,19566.4,-104.5,-3135.0,-2.09,201609.0,134.41,0 days 01:45:00
SHORT,2016-09-27 13:30:00+05:30,2016-09-28 10:05:00+05:30,SHORT,19566.4,19587.3,-20.9,-627.0,-0.42,200982.0,133.99,0 days 20:35:00
LONG,2016-09-28 10:05:00+05:30,2016-09-28 14:55:00+05:30,LONG,19587.3,19606.85,19.55,586.5,0.39,201568.5,134.38,0 days 04:50:00
SHORT,2016-09-28 14:55:00+05:30,2016-09-29 09:15:00+05:30,SHORT,19606.85,19769.95,-163.1,-4893.0,-3.26,196675.5,131.12,0 days 18:20:00
LONG,2016-09-29 09:15:00+05:30,2016-09-29 12:15:00+05:30,LONG,19769.95,19617.5,-152.45,-4573.5,-3.05,192102.0,128.07,0 days 03:00:00
SHORT,2016-09-29 12:15:00+05:30,2016-09-30 14:20:00+05:30,SHORT,19617.5,19283.95,333.55,10006.5,6.67,202108.5,134.74,1 days 02:05:00
LONG,2016-09-30 14:20:00+05:30,2016-10-04 14:10:00+05:30,LONG,19283.95,19547.0,263.05,7891.5,5.26,210000.0,140.0,3 days 23:50:00
SHORT,2016-10-04 14:10:00+05:30,2016-10-04 15:10:00+05:30,SHORT,19547.0,19669.3,-122.3,-3669.0,-2.45,206331.0,137.55,0 days 01:00:00
LONG,2016-10-04 15:10:00+05:30,2016-10-05 10:15:00+05:30,LONG,19669.3,19563.7,-105.6,-3168.0,-2.11,203163.0,135.44,0 days 19:05:00
SHORT,2016-10-05 10:15:00+05:30,2016-10-10 09:15:00+05:30,SHORT,19563.7,19434.45,129.25,3877.5,2.58,207040.5,138.03,4 days 23:00:00
LONG,2016-10-10 09:15:00+05:30,2016-10-10 14:30:00+05:30,LONG,19434.45,19365.1,-69.35,-2080.5,-1.39,204960.0,136.64,0 days 05:15:00
SHORT,2016-10-10 14:30:00+05:30,2016-10-13 15:15:00+05:30,SHORT,19365.1,18981.15,383.95,11518.5,7.68,216478.5,144.32,3 days 00:45:00
LONG,2016-10-13 15:15:00+05:30,2016-10-17 11:55:00+05:30,LONG,18981.15,19117.05,135.9,4077.0,2.72,220555.5,147.04,3 days 20:40:00
SHORT,2016-10-17 11:55:00+05:30,2016-10-18 09:15:00+05:30,SHORT,19117.05,19250.2,-133.15,-3994.5,-2.66,216561.0,144.37,0 days 21:20:00
LONG,2016-10-18 09:15:00+05:30,2016-10-19 12:40:00+05:30,LONG,19250.2,19400.65,150.45,4513.5,3.01,221074.5,147.38,1 days 03:25:00
SHORT,2016-10-19 12:40:00+05:30,2016-10-19 13:55:00+05:30,SHORT,19400.65,19448.35,-47.7,-1431.0,-0.95,219643.5,146.43,0 days 01:15:00
LONG,2016-10-19 13:55:00+05:30,2016-10-20 12:45:00+05:30,LONG,19448.35,19575.05,126.7,3801.0,2.53,223444.5,148.96,0 days 22:50:00
SHORT,2016-10-20 12:45:00+05:30,2016-10-21 13:50:00+05:30,SHORT,19575.05,19617.2,-42.15,-1264.5,-0.84,222180.0,148.12,1 days 01:05:00
LONG,2016-10-21 13:50:00+05:30,2016-10-24 14:50:00+05:30,LONG,19617.2,19803.45,186.25,5587.5,3.72,227767.5,151.84,3 days 01:00:00
SHORT,2016-10-24 14:50:00+05:30,2016-10-25 12:55:00+05:30,SHORT,19803.45,19829.55,-26.1,-783.0,-0.52,226984.5,151.32,0 days 22:05:00
LONG,2016-10-25 12:55:00+05:30,2016-10-26 09:15:00+05:30,LONG,19829.55,19633.7,-195.85,-5875.5,-3.92,221109.0,147.41,0 days 20:20:00
SHORT,2016-10-26 09:15:00+05:30,2016-10-27 13:10:00+05:30,SHORT,19633.7,19362.2,271.5,8145.0,5.43,229254.0,152.84,1 days 03:55:00
LONG,2016-10-27 13:10:00+05:30,2016-10-28 09:25:00+05:30,LONG,19362.2,19388.3,26.1,783.0,0.52,230037.0,153.36,0 days 20:15:00
SHORT,2016-10-28 09:25:00+05:30,2016-10-28 10:15:00+05:30,SHORT,19388.3,19542.55,-154.25,-4627.5,-3.08,225409.5,150.27,0 days 00:50:00
LONG,2016-10-28 10:15:00+05:30,2016-11-01 09:20:00+05:30,LONG,19542.55,19481.85,-60.7,-1821.0,-1.21,223588.5,149.06,3 days 23:05:00
SHORT,2016-11-01 09:20:00+05:30,2016-11-01 13:15:00+05:30,SHORT,19481.85,19564.7,-82.85,-2485.5,-1.66,221103.0,147.4,0 days 03:55:00
LONG,2016-11-01 13:15:00+05:30,2016-11-01 14:25:00+05:30,LONG,19564.7,19487.8,-76.9,-2307.0,-1.54,218796.0,145.86,0 days 01:10:00
SHORT,2016-11-01 14:25:00+05:30,2016-11-02 13:15:00+05:30,SHORT,19487.8,19275.65,212.15,6364.5,4.24,225160.5,150.11,0 days 22:50:00
LONG,2016-11-02 13:15:00+05:30,2016-11-03 13:05:00+05:30,LONG,19275.65,19198.75,-76.9,-2307.0,-1.54,222853.5,148.57,0 days 23:50:00
SHORT,2016-11-03 13:05:00+05:30,2016-11-07 09:15:00+05:30,SHORT,19198.75,19262.9,-64.15,-1924.5,-1.28,220929.0,147.29,3 days 20:10:00
LONG,2016-11-07 09:15:00+05:30,2016-11-09 09:15:00+05:30,LONG,19262.9,18711.55,-551.35,-16540.5,-11.03,204388.5,136.26,2 days 00:00:00
SHORT,2016-11-09 09:15:00+05:30,2016-11-09 09:30:00+05:30,SHORT,18711.55,19131.75,-420.2,-12606.0,-8.4,191782.5,127.86,0 days 00:15:00
LONG,2016-11-09 09:30:00+05:30,2016-11-11 09:15:00+05:30,LONG,19131.75,20074.1,942.35,28270.5,18.85,220053.0,146.7,1 days 23:45:00
SHORT,2016-11-11 09:15:00+05:30,2016-11-11 09:20:00+05:30,SHORT,20074.1,20266.85,-192.75,-5782.5,-3.86,214270.5,142.85,0 days 00:05:00
LONG,2016-11-11 09:20:00+05:30,2016-11-11 10:35:00+05:30,LONG,20266.85,19953.05,-313.8,-9414.0,-6.28,204856.5,136.57,0 days 01:15:00
SHORT,2016-11-11 10:35:00+05:30,2016-11-17 09:25:00+05:30,SHORT,19953.05,19300.4,652.65,19579.5,13.05,224436.0,149.62,5 days 22:50:00
LONG,2016-11-17 09:25:00+05:30,2016-11-17 13:40:00+05:30,LONG,19300.4,19080.25,-220.15,-6604.5,-4.4,217831.5,145.22,0 days 04:15:00
SHORT,2016-11-17 13:40:00+05:30,2016-11-22 09:20:00+05:30,SHORT,19080.25,18578.25,502.0,15060.0,10.04,232891.5,155.26,4 days 19:40:00
LONG,2016-11-22 09:20:00+05:30,2016-11-22 09:55:00+05:30,LONG,18578.25,18404.75,-173.5,-5205.0,-3.47,227686.5,151.79,0 days 00:35:00
SHORT,2016-11-22 09:55:00+05:30,2016-11-22 14:10:00+05:30,SHORT,18404.75,18462.3,-57.55,-1726.5,-1.15,225960.0,150.64,0 days 04:15:00
LONG,2016-11-22 14:10:00+05:30,2016-11-24 09:15:00+05:30,LONG,18462.3,18409.05,-53.25,-1597.5,-1.06,224362.5,149.57,1 days 19:05:00
SHORT,2016-11-24 09:15:00+05:30,2016-11-24 14:20:00+05:30,SHORT,18409.05,18385.35,23.7,711.0,0.47,225073.5,150.05,0 days 05:05:00
LONG,2016-11-24 14:20:00+05:30,2016-11-24 15:00:00+05:30,LONG,18385.35,18270.4,-114.95,-3448.5,-2.3,221625.0,147.75,0 days 00:40:00
SHORT,2016-11-24 15:00:00+05:30,2016-11-25 09:55:00+05:30,SHORT,18270.4,18404.0,-133.6,-4008.0,-2.67,217617.0,145.08,0 days 18:55:00
LONG,2016-11-25 09:55:00+05:30,2016-11-28 09:15:00+05:30,LONG,18404.0,18244.8,-159.2,-4776.0,-3.18,212841.0,141.89,2 days 23:20:00
SHORT,2016-11-28 09:15:00+05:30,2016-11-28 12:05:00+05:30,SHORT,18244.8,18437.6,-192.8,-5784.0,-3.86,207057.0,138.04,0 days 02:50:00
LONG,2016-11-28 12:05:00+05:30,2016-11-28 13:15:00+05:30,LONG,18437.6,18357.2,-80.4,-2412.0,-1.61,204645.0,136.43,0 days 01:10:00
SHORT,2016-11-28 13:15:00+05:30,2016-11-29 10:15:00+05:30,SHORT,18357.2,18398.1,-40.9,-1227.0,-0.82,203418.0,135.61,0 days 21:00:00
LONG,2016-11-29 10:15:00+05:30,2016-11-29 13:55:00+05:30,LONG,18398.1,18323.25,-74.85,-2245.5,-1.5,201172.5,134.12,0 days 03:40:00
SHORT,2016-11-29 13:55:00+05:30,2016-11-30 09:45:00+05:30,SHORT,18323.25,18335.55,-12.3,-369.0,-0.25,200803.5,133.87,0 days 19:50:00
LONG,2016-11-30 09:45:00+05:30,2016-11-30 12:50:00+05:30,LONG,18335.55,18354.55,19.0,570.0,0.38,201373.5,134.25,0 days 03:05:00
SHORT,2016-11-30 12:50:00+05:30,2016-11-30 13:30:00+05:30,SHORT,18354.55,18444.0,-89.45,-2683.5,-1.79,198690.0,132.46,0 days 00:40:00
LONG,2016-11-30 13:30:00+05:30,2016-12-01 09:55:00+05:30,LONG,18444.0,18551.4,107.4,3222.0,2.15,201912.0,134.61,0 days 20:25:00
SHORT,2016-12-01 09:55:00+05:30,2016-12-02 13:20:00+05:30,SHORT,18551.4,18281.55,269.85,8095.5,5.4,210007.5,140.0,1 days 03:25:00
LONG,2016-12-02 13:20:00+05:30,2016-12-02 14:05:00+05:30,LONG,18281.55,18273.6,-7.95,-238.5,-0.16,209769.0,139.85,0 days 00:45:00
SHORT,2016-12-02 14:05:00+05:30,2016-12-05 13:35:00+05:30,SHORT,18273.6,18304.85,-31.25,-937.5,-0.62,208831.5,139.22,2 days 23:30:00
LONG,2016-12-05 13:35:00+05:30,2016-12-07 14:30:00+05:30,LONG,18304.85,18162.75,-142.1,-4263.0,-2.84,204568.5,136.38,2 days 00:55:00
SHORT,2016-12-07 14:30:00+05:30,2016-12-08 10:05:00+05:30,SHORT,18162.75,18435.9,-273.15,-8194.5,-5.46,196374.0,130.92,0 days 19:35:00
LONG,2016-12-08 10:05:00+05:30,2016-12-09 09:35:00+05:30,LONG,18435.9,18459.75,23.85,715.5,0.48,197089.5,131.39,0 days 23:30:00
SHORT,2016-12-09 09:35:00+05:30,2016-12-09 11:35:00+05:30,SHORT,18459.75,18583.0,-123.25,-3697.5,-2.46,193392.0,128.93,0 days 02:00:00
LONG,2016-12-09 11:35:00+05:30,2016-12-12 09:15:00+05:30,LONG,18583.0,18579.95,-3.05,-91.5,-0.06,193300.5,128.87,2 days 21:40:00
SHORT,2016-12-12 09:15:00+05:30,2016-12-13 13:35:00+05:30,SHORT,18579.95,18424.45,155.5,4665.0,3.11,197965.5,131.98,1 days 04:20:00
LONG,2016-12-13 13:35:00+05:30,2016-12-14 13:05:00+05:30,LONG,18424.45,18338.55,-85.9,-2577.0,-1.72,195388.5,130.26,0 days 23:30:00
SHORT,2016-12-14 13:05:00+05:30,2016-12-14 13:50:00+05:30,SHORT,18338.55,18418.85,-80.3,-2409.0,-1.61,192979.5,128.65,0 days 00:45:00
LONG,2016-12-14 13:50:00+05:30,2016-12-15 09:15:00+05:30,LONG,18418.85,18272.7,-146.15,-4384.5,-2.92,188595.0,125.73,0 days 19:25:00
SHORT,2016-12-15 09:15:00+05:30,2016-12-15 09:35:00+05:30,SHORT,18272.7,18420.8,-148.1,-4443.0,-2.96,184152.0,122.77,0 days 00:20:00
LONG,2016-12-15 09:35:00+05:30,2016-12-15 11:20:00+05:30,LONG,18420.8,18351.75,-69.05,-2071.5,-1.38,182080.5,121.39,0 days 01:45:00
SHORT,2016-12-15 11:20:00+05:30,2016-12-21 09:45:00+05:30,SHORT,18351.75,18146.5,205.25,6157.5,4.11,188238.0,125.49,5 days 22:25:00
LONG,2016-12-21 09:45:00+05:30,2016-12-21 15:00:00+05:30,LONG,18146.5,18084.6,-61.9,-1857.0,-1.24,186381.0,124.25,0 days 05:15:00
SHORT,2016-12-21 15:00:00+05:30,2016-12-23 11:35:00+05:30,SHORT,18084.6,17927.15,157.45,4723.5,3.15,191104.5,127.4,1 days 20:35:00
LONG,2016-12-23 11:35:00+05:30,2016-12-23 14:10:00+05:30,LONG,17927.15,17866.4,-60.75,-1822.5,-1.21,189282.0,126.19,0 days 02:35:00
SHORT,2016-12-23 14:10:00+05:30,2016-12-27 14:05:00+05:30,SHORT,17866.4,17724.75,141.65,4249.5,2.83,193531.5,129.02,3 days 23:55:00
LONG,2016-12-27 14:05:00+05:30,2016-12-28 14:05:00+05:30,LONG,17724.75,17956.3,231.55,6946.5,4.63,200478.0,133.65,1 days 00:00:00
SHORT,2016-12-28 14:05:00+05:30,2016-12-29 14:50:00+05:30,SHORT,17956.3,17933.25,23.05,691.5,0.46,201169.5,134.11,1 days 00:45:00
LONG,2016-12-29 14:50:00+05:30,2016-12-30 15:20:00+05:30,LONG,17933.25,18153.45,220.2,6606.0,4.4,207775.5,138.52,1 days 00:30:00
SHORT,2016-12-30 15:20:00+05:30,2017-01-02 14:00:00+05:30,SHORT,18153.45,17972.4,181.05,5431.5,3.62,213207.0,142.14,2 days 22:40:00
LONG,2017-01-02 14:00:00+05:30,2017-01-03 09:15:00+05:30,LONG,17972.4,17884.35,-88.05,-2641.5,-1.76,210565.5,140.38,0 days 19:15:00
SHORT,2017-01-03 09:15:00+05:30,2017-01-03 09:55:00+05:30,SHORT,17884.35,18003.9,-119.55,-3586.5,-2.39,206979.0,137.99,0 days 00:40:00
LONG,2017-01-03 09:55:00+05:30,2017-01-03 13:15:00+05:30,LONG,18003.9,17989.75,-14.15,-424.5,-0.28,206554.5,137.7,0 days 03:20:00
SHORT,2017-01-03 13:15:00+05:30,2017-01-03 14:30:00+05:30,SHORT,17989.75,18073.05,-83.3,-2499.0,-1.67,204055.5,136.04,0 days 01:15:00
LONG,2017-01-03 14:30:00+05:30,2017-01-04 10:55:00+05:30,LONG,18073.05,17966.25,-106.8,-3204.0,-2.14,200851.5,133.9,0 days 20:25:00
SHORT,2017-01-04 10:55:00+05:30,2017-01-05 09:15:00+05:30,SHORT,17966.25,18013.5,-47.25,-1417.5,-0.94,199434.0,132.96,0 days 22:20:00
LONG,2017-01-05 09:15:00+05:30,2017-01-12 10:05:00+05:30,LONG,18013.5,18821.2,807.7,24231.0,16.15,223665.0,149.11,7 days 00:50:00
SHORT,2017-01-12 10:05:00+05:30,2017-01-13 09:15:00+05:30,SHORT,18821.2,18929.3,-108.1,-3243.0,-2.16,220422.0,146.95,0 days 23:10:00
LONG,2017-01-13 09:15:00+05:30,2017-01-13 09:50:00+05:30,LONG,18929.3,18815.4,-113.9,-3417.0,-2.28,217005.0,144.67,0 days 00:35:00
SHORT,2017-01-13 09:50:00+05:30,2017-01-16 09:25:00+05:30,SHORT,18815.4,18943.55,-128.15,-3844.5,-2.56,213160.5,142.11,2 days 23:35:00
LONG,2017-01-16 09:25:00+05:30,2017-01-17 11:05:00+05:30,LONG,18943.55,19075.45,131.9,3957.0,2.64,217117.5,144.74,1 days 01:40:00
SHORT,2017-01-17 11:05:00+05:30,2017-01-17 13:20:00+05:30,SHORT,19075.45,19082.1,-6.65,-199.5,-0.13,216918.0,144.61,0 days 02:15:00
LONG,2017-01-17 13:20:00+05:30,2017-01-18 12:10:00+05:30,LONG,19082.1,19182.45,100.35,3010.5,2.01,219928.5,146.62,0 days 22:50:00
SHORT,2017-01-18 12:10:00+05:30,2017-01-19 12:15:00+05:30,SHORT,19182.45,19166.9,15.55,466.5,0.31,220395.0,146.93,1 days 00:05:00
LONG,2017-01-19 12:15:00+05:30,2017-01-20 09:15:00+05:30,LONG,19166.9,19040.5,-126.4,-3792.0,-2.53,216603.0,144.4,0 days 21:00:00
SHORT,2017-01-20 09:15:00+05:30,2017-01-23 10:55:00+05:30,SHORT,19040.5,18873.95,166.55,4996.5,3.33,221599.5,147.73,3 days 01:40:00
LONG,2017-01-23 10:55:00+05:30,2017-01-23 12:15:00+05:30,LONG,18873.95,18794.15,-79.8,-2394.0,-1.6,219205.5,146.14,0 days 01:20:00
SHORT,2017-01-23 12:15:00+05:30,2017-01-23 15:15:00+05:30,SHORT,18794.15,18855.75,-61.6,-1848.0,-1.23,217357.5,144.9,0 days 03:00:00
LONG,2017-01-23 15:15:00+05:30,2017-01-30 09:15:00+05:30,LONG,18855.75,19675.9,820.15,24604.5,16.4,241962.0,161.31,6 days 18:00:00
SHORT,2017-01-30 09:15:00+05:30,2017-01-31 12:55:00+05:30,SHORT,19675.9,19584.55,91.35,2740.5,1.83,244702.5,163.14,1 days 03:40:00
LONG,2017-01-31 12:55:00+05:30,2017-02-01 11:40:00+05:30,LONG,19584.55,19517.55,-67.0,-2010.0,-1.34,242692.5,161.79,0 days 22:45:00
SHORT,2017-02-01 11:40:00+05:30,2017-02-01 12:55:00+05:30,SHORT,19517.55,19710.65,-193.1,-5793.0,-3.86,236899.5,157.93,0 days 01:15:00
LONG,2017-02-01 12:55:00+05:30,2017-02-02 11:30:00+05:30,LONG,19710.65,19934.6,223.95,6718.5,4.48,243618.0,162.41,0 days 22:35:00
SHORT,2017-02-02 11:30:00+05:30,2017-02-02 13:20:00+05:30,SHORT,19934.6,20023.4,-88.8,-2664.0,-1.78,240954.0,160.64,0 days 01:50:00
LONG,2017-02-02 13:20:00+05:30,2017-02-02 15:25:00+05:30,LONG,20023.4,20018.4,-5.0,-150.0,-0.1,240804.0,160.54,0 days 02:05:00
SHORT,2017-02-02 15:25:00+05:30,2017-02-03 09:40:00+05:30,SHORT,20018.4,20143.6,-125.2,-3756.0,-2.5,237048.0,158.03,0 days 18:15:00
LONG,2017-02-03 09:40:00+05:30,2017-02-06 13:20:00+05:30,LONG,20143.6,20368.9,225.3,6759.0,4.51,243807.0,162.54,3 days 03:40:00
SHORT,2017-02-06 13:20:00+05:30,2017-02-07 12:45:00+05:30,SHORT,20368.9,20405.65,-36.75,-1102.5,-0.74,242704.5,161.8,0 days 23:25:00
LONG,2017-02-07 12:45:00+05:30,2017-02-07 14:40:00+05:30,LONG,20405.65,20292.9,-112.75,-3382.5,-2.26,239322.0,159.55,0 days 01:55:00
SHORT,2017-02-07 14:40:00+05:30,2017-02-08 15:15:00+05:30,SHORT,20292.9,20307.85,-14.95,-448.5,-0.3,238873.5,159.25,1 days 00:35:00
LONG,2017-02-08 15:15:00+05:30,2017-02-09 10:20:00+05:30,LONG,20307.85,20170.65,-137.2,-4116.0,-2.74,234757.5,156.5,0 days 19:05:00
SHORT,2017-02-09 10:20:00+05:30,2017-02-09 13:45:00+05:30,SHORT,20170.65,20173.0,-2.35,-70.5,-0.05,234687.0,156.46,0 days 03:25:00
LONG,2017-02-09 13:45:00+05:30,2017-02-10 13:40:00+05:30,LONG,20173.0,20192.95,19.95,598.5,0.4,235285.5,156.86,0 days 23:55:00
SHORT,2017-02-10 13:40:00+05:30,2017-02-13 14:00:00+05:30,SHORT,20192.95,20247.95,-55.0,-1650.0,-1.1,233635.5,155.76,3 days 00:20:00
LONG,2017-02-13 14:00:00+05:30,2017-02-15 11:25:00+05:30,LONG,20247.95,20213.85,-34.1,-1023.0,-0.68,232612.5,155.08,1 days 21:25:00
SHORT,2017-02-15 11:25:00+05:30,2017-02-16 11:30:00+05:30,SHORT,20213.85,20224.0,-10.15,-304.5,-0.2,232308.0,154.87,1 days 00:05:00
LONG,2017-02-16 11:30:00+05:30,2017-02-17 13:05:00+05:30,LONG,20224.0,20652.9,428.9,12867.0,8.58,245175.0,163.45,1 days 01:35:00
SHORT,2017-02-17 13:05:00+05:30,2017-02-20 14:50:00+05:30,SHORT,20652.9,20623.25,29.65,889.5,0.59,246064.5,164.04,3 days 01:45:00
LONG,2017-02-20 14:50:00+05:30,2017-02-22 13:00:00+05:30,LONG,20623.25,20868.35,245.1,7353.0,4.9,253417.5,168.94,1 days 22:10:00
SHORT,2017-02-22 13:00:00+05:30,2017-02-23 12:35:00+05:30,SHORT,20868.35,20941.15,-72.8,-2184.0,-1.46,251233.5,167.49,0 days 23:35:00
LONG,2017-02-23 12:35:00+05:30,2017-02-23 14:20:00+05:30,LONG,20941.15,20882.7,-58.45,-1753.5,-1.17,249480.0,166.32,0 days 01:45:00
SHORT,2017-02-23 14:20:00+05:30,2017-02-28 14:30:00+05:30,SHORT,20882.7,20646.25,236.45,7093.5,4.73,256573.5,171.05,5 days 00:10:00
LONG,2017-02-28 14:30:00+05:30,2017-03-02 12:25:00+05:30,LONG,20646.25,20806.65,160.4,4812.0,3.21,261385.5,174.26,1 days 21:55:00
SHORT,2017-03-02 12:25:00+05:30,2017-03-03 14:30:00+05:30,SHORT,20806.65,20507.6,299.05,8971.5,5.98,270357.0,180.24,1 days 02:05:00
LONG,2017-03-03 14:30:00+05:30,2017-03-06 13:00:00+05:30,LONG,20507.6,20612.65,105.05,3151.5,2.1,273508.5,182.34,2 days 22:30:00
SHORT,2017-03-06 13:00:00+05:30,2017-03-06 15:10:00+05:30,SHORT,20612.65,20670.2,-57.55,-1726.5,-1.15,271782.0,181.19,0 days 02:10:00
LONG,2017-03-06 15:10:00+05:30,2017-03-07 10:35:00+05:30,LONG,20670.2,20591.15,-79.05,-2371.5,-1.58,269410.5,179.61,0 days 19:25:00
SHORT,2017-03-07 10:35:00+05:30,2017-03-08 09:15:00+05:30,SHORT,20591.15,20659.25,-68.1,-2043.0,-1.36,267367.5,178.24,0 days 22:40:00
LONG,2017-03-08 09:15:00+05:30,2017-03-08 11:00:00+05:30,LONG,20659.25,20599.65,-59.6,-1788.0,-1.19,265579.5,177.05,0 days 01:45:00
SHORT,2017-03-08 11:00:00+05:30,2017-03-08 13:15:00+05:30,SHORT,20599.65,20675.65,-76.0,-2280.0,-1.52,263299.5,175.53,0 days 02:15:00
LONG,2017-03-08 13:15:00+05:30,2017-03-10 14:00:00+05:30,LONG,20675.65,20682.3,6.65,199.5,0.13,263499.0,175.67,2 days 00:45:00
SHORT,2017-03-10 14:00:00+05:30,2017-03-10 15:25:00+05:30,SHORT,20682.3,20760.9,-78.6,-2358.0,-1.57,261141.0,174.09,0 days 01:25:00
LONG,2017-03-10 15:25:00+05:30,2017-03-14 14:40:00+05:30,LONG,20760.9,21089.4,328.5,9855.0,6.57,270996.0,180.66,3 days 23:15:00
SHORT,2017-03-14 14:40:00+05:30,2017-03-15 09:55:00+05:30,SHORT,21089.4,21180.5,-91.1,-2733.0,-1.82,268263.0,178.84,0 days 19:15:00
LONG,2017-03-15 09:55:00+05:30,2017-03-17 10:00:00+05:30,LONG,21180.5,21198.8,18.3,549.0,0.37,268812.0,179.21,2 days 00:05:00
SHORT,2017-03-17 10:00:00+05:30,2017-03-21 15:25:00+05:30,SHORT,21198.8,21052.4,146.4,4392.0,2.93,273204.0,182.14,4 days 05:25:00
LONG,2017-03-21 15:25:00+05:30,2017-03-22 09:15:00+05:30,LONG,21052.4,20864.7,-187.7,-5631.0,-3.75,267573.0,178.38,0 days 17:50:00
SHORT,2017-03-22 09:15:00+05:30,2017-03-23 09:30:00+05:30,SHORT,20864.7,20852.65,12.05,361.5,0.24,267934.5,178.62,1 days 00:15:00
LONG,2017-03-23 09:30:00+05:30,2017-03-27 09:20:00+05:30,LONG,20852.65,21091.95,239.3,7179.0,4.79,275113.5,183.41,3 days 23:50:00
SHORT,2017-03-27 09:20:00+05:30,2017-03-27 14:10:00+05:30,SHORT,21091.95,21099.65,-7.7,-231.0,-0.15,274882.5,183.26,0 days 04:50:00
LONG,2017-03-27 14:10:00+05:30,2017-03-28 13:35:00+05:30,LONG,21099.65,21191.95,92.3,2769.0,1.85,277651.5,185.1,0 days 23:25:00
SHORT,2017-03-28 13:35:00+05:30,2017-03-29 09:15:00+05:30,SHORT,21191.95,21276.85,-84.9,-2547.0,-1.7,275104.5,183.4,0 days 19:40:00
LONG,2017-03-29 09:15:00+05:30,2017-03-31 15:00:00+05:30,LONG,21276.85,21449.25,172.4,5172.0,3.45,280276.5,186.85,2 days 05:45:00
SHORT,2017-03-31 15:00:00+05:30,2017-04-03 14:00:00+05:30,SHORT,21449.25,21556.95,-107.7,-3231.0,-2.15,277045.5,184.7,2 days 23:00:00
LONG,2017-04-03 14:00:00+05:30,2017-04-05 15:25:00+05:30,LONG,21556.95,21613.15,56.2,1686.0,1.12,278731.5,185.82,2 days 01:25:00
SHORT,2017-04-05 15:25:00+05:30,2017-04-06 14:30:00+05:30,SHORT,21613.15,21626.85,-13.7,-411.0,-0.27,278320.5,185.55,0 days 23:05:00
LONG,2017-04-06 14:30:00+05:30,2017-04-07 14:40:00+05:30,LONG,21626.85,21514.7,-112.15,-3364.5,-2.24,274956.0,183.3,1 days 00:10:00
SHORT,2017-04-07 14:40:00+05:30,2017-04-10 12:25:00+05:30,SHORT,21514.7,21523.9,-9.2,-276.0,-0.18,274680.0,183.12,2 days 21:45:00
LONG,2017-04-10 12:25:00+05:30,2017-04-12 09:45:00+05:30,LONG,21523.9,21625.9,102.0,3060.0,2.04,277740.0,185.16,1 days 21:20:00
SHORT,2017-04-12 09:45:00+05:30,2017-04-12 12:25:00+05:30,SHORT,21625.9,21730.9,-105.0,-3150.0,-2.1,274590.0,183.06,0 days 02:40:00
LONG,2017-04-12 12:25:00+05:30,2017-04-12 14:05:00+05:30,LONG,21730.9,21655.8,-75.1,-2253.0,-1.5,272337.0,181.56,0 days 01:40:00
SHORT,2017-04-12 14:05:00+05:30,2017-04-18 09:15:00+05:30,SHORT,21655.8,21755.85,-100.05,-3001.5,-2.0,269335.5,179.56,5 days 19:10:00
LONG,2017-04-18 09:15:00+05:30,2017-04-18 13:05:00+05:30,LONG,21755.85,21856.0,100.15,3004.5,2.0,272340.0,181.56,0 days 03:50:00
SHORT,2017-04-18 13:05:00+05:30,2017-04-21 09:15:00+05:30,SHORT,21856.0,21583.15,272.85,8185.5,5.46,280525.5,187.02,2 days 20:10:00
LONG,2017-04-21 09:15:00+05:30,2017-04-21 12:15:00+05:30,LONG,21583.15,21491.5,-91.65,-2749.5,-1.83,277776.0,185.18,0 days 03:00:00
SHORT,2017-04-21 12:15:00+05:30,2017-04-21 14:55:00+05:30,SHORT,21491.5,21563.35,-71.85,-2155.5,-1.44,275620.5,183.75,0 days 02:40:00
LONG,2017-04-21 14:55:00+05:30,2017-04-25 13:25:00+05:30,LONG,21563.35,21938.95,375.6,11268.0,7.51,286888.5,191.26,3 days 22:30:00
SHORT,2017-04-25 13:25:00+05:30,2017-04-25 15:00:00+05:30,SHORT,21938.95,22045.55,-106.6,-3198.0,-2.13,283690.5,189.13,0 days 01:35:00
LONG,2017-04-25 15:00:00+05:30,2017-04-26 14:30:00+05:30,LONG,22045.55,22126.25,80.7,2421.0,1.61,286111.5,190.74,0 days 23:30:00
SHORT,2017-04-26 14:30:00+05:30,2017-04-27 10:55:00+05:30,SHORT,22126.25,22281.1,-154.85,-4645.5,-3.1,281466.0,187.64,0 days 20:25:00
LONG,2017-04-27 10:55:00+05:30,2017-04-28 10:10:00+05:30,LONG,22281.1,22206.05,-75.05,-2251.5,-1.5,279214.5,186.14,0 days 23:15:00
SHORT,2017-04-28 10:10:00+05:30,2017-04-28 13:20:00+05:30,SHORT,22206.05,22281.2,-75.15,-2254.5,-1.5,276960.0,184.64,0 days 03:10:00
